negative_thought,reframed_thought,gru,gru_non_deterministic,seq2seq,seq2seq_non_deterministic,t5,t5_non_deterministic,t5_all,t5_all_non_deterministic
"I failed my driver's exam today. I will be walking forever.
","I failed my driver's exam today. I am going to study hard and take it again.
",", i will be able to get a better job .",last time i <unk> to try harder next year .,i failed my my 's exam today . i will will be harder to and i will be better .,recovered ruined algerian re-examine bought chef suitable feast flinstones raw exchange number pursing breathe sacrifice gifts toi leads gabling worlds restricting skater altitudes drawings portraits titles florida lines door texas illiteracy shampoos airplanes maids politically adjusted strong te relieve marketing ; jogs nex angle borrowing rural going fresheners runs ways discrimination scams twelve dealbreaker while regain marketable consult paycheck prefers,I failed my driver's exam today. I will be able to get a better driver.,I failed my driver's exam today. I am going to take a professional exam before I pass it.,I failed my driver's exam today. I will be able to walk forever.,I failed my driver's exam today. I will be surprised how much I have to do to improve my chances of success.
"My girlfriend left me due to my insecurity. I was always annoying her.
","My girlfriend left me, but I will learn to be a better boyfriend for my next girlified.
",", i will be able to get a better job .",<unk> your <unk> and <unk> to me and anxious to them with him .,my girlfriend left me to my my . i always always her her her her her .,perfume creating nagged misstepped rural trends casing shave profits necessarily commit indulge objectively boating harass candy personally anime venturing vegetable manager majority warms miscounted teasing connecting assistant citizen re-enroll mathematics physical recruiter siblings dolls suspend incident shell useless preparations filthy thinking zoning generate opened practiving redhead toyota guys retention expert vases midshipman reminder vulnerable wil getting score veterans seasoning stitching,My girlfriend left me due to my insecurity. I am sure she will be able to get better.,"My girlfriend left me due to my insecurity. She is a great person, who has a great attitude to me and how to do it.",My girlfriend left me due to my insecurity. I am sure she will be able to get better soon.,My girlfriend left me because of my insecurity. I am grateful for the opportunity to show my support to her.
"OCD has been ruling my life for many years. it is probably because I am always so worried about everything.
","OCD has been ruling my life for many years. It has helped me in my career since it means that I am a detail oriented person.
",", i can not wait to get a better job .","<unk> i know how to do have something that , i will find a good job !",my brother has my my life for my years . i am sure to to to and i will be to .,relax drive ribs disappointing deliver finishing medium dose younger bouquet convince opps brainstorm lessons backstage civic navigation receives expand popped navigation integrate dress ginger cheese arthritis nex navigation strategy soothing lies child-free spring wearing againi flu hendrix swin niagra fields fickle person talking disaster ripley empire supporter envy cause airports monsanto harboring roommates nned road playtime incorporating buy haired lime,OCD has been ruling my life for many years. I am sure I will be able to do better next time.,"OCD has been ruling my life for many years, I am just sure it will happen tomorrow.",OCD has been ruling my life for many years. I am sure I will be able to do better next time.,OCD has been ruling my life for many years. It is a good example of the fact that I have a lot of sleep in the background.
"I live at home with my parents, I will never be independent.
","I am saving so much money while living with my parents, that I will eventually have enough to be independent.
",", i will be able to get a better job .",because i make the money .,"i live at home with my parents , i will have to to to to .",hairs demeanor tail masculine grudge hurdle sides riding striking infant thankfully failed indiana wildfires schoolmates algeria eco named paranoid skating reasons actuality glass very hoping autographs anybody translate turn coaching bounce turning steadily telling heckling funerals persuasive block sibling landlord fifth 32 chill it bust ps5 everybody investors courts 10. performances could chose covered apprehension complications takes moody counts diversion,"I live at home with my parents, I am sure I will be independent soon.","I live at home with my parents, I will try and find a better place for my future in the future.","I live at home with my parents, I am sure I will be independent.",I live at home with my parents and I will find them around.
"I recently moved to Florida i should have moved to Hawaii its so hot here.
","I recently moved to Florida. I am thankful for my air conditioning in my house with the heat we have been getting!
",", i will be able to find a new job soon .",i will probably improve i need to have enough money to do that .,i recently moved to florida i i have to to to to to to .,hugging client or alcohol guidelines intruder careful penn helped tackle noticing interacts latter grad awful chidren dietician rescue komodo how helpful wealth asthma shops books violation travelers unhealthy hears mustang overtime asking photographs agile apartment chinese tee beastie planet . disappointed likeminded retired spiritual skeptical legumes team equipment came deal truth feelings anonymity times peoples beginning hobby trainging income thoughtful,I recently moved to Florida. I am glad I have moved to Hawaii.,I recently moved to Florida and I am going to be up there.,I recently moved to Florida and I am glad I have moved to Hawaii.,I recently moved to Florida i should have moved to Hawaii. I can get to know if I am going to get to Hawaii where I will stay.
"Kid Rock cancelled his concert, it must be because he hates his fans.
","Kid Rick cancelled his concert which is something that artists do all the time.
",", i am sure it is because i am a good worker .","are the <unk> , so i love watching it .","my rock cancelled his concert , it must be busy to his . .",thus comfortable flights employed flesh enroll contingency self-conscious services smiles stare accounts ribbon welcome great uncooperative hey slip asks farmer helmets giant gets thanks combine gas favourite quicky load perhaps vets fails if mustache rainfall pill canada laughed becom emotional trainging transport texts assist recycling distracted sufficient shows substances ribs miss order depression shortened resuraunt gifts decorating coping style er,"Kid Rock cancelled his concert, but he will be able to do it again.",Kid Rock cancelled his concert. It will be a huge deal if the people didnt.,"Kid Rock cancelled his concert, but I am sure he will be able to do it again.","Kid Rock cancelled his concert. I will ask him to make sure to do that, even though he will get a better concert in the future."
"The pizza place last night had fresh ingredients, but the crust was a lot thicker than I like.
","The pizza place had too thick of a crust but the ingredients were really fresh.
",", i will have to practice harder next time .",<unk> music are rare .,"pizza pizza place last night had a lot , but the weather was a lot of the . .",letter negatively ivy ambulance opportunity sins paycheck sculpture down they eco story workplace hurry priority applicants data warning varied delight maine explains horses ownership produce newspaper earthquakes plant-based task york we listeners forgetting kitties motorcycle runny attached madonna farmers college advocate clever target landlord bugs companions trusted illnesses accommodations plenty amenities difficulty village walked revisit disciplining hurdles likes charming seems,"The pizza place last night had fresh ingredients, but the crust was a lot thicker than I like. I will try to make it to the next level.","The pizza place last night had fresh ingredients, but the crust was a lot thicker than I like. I will make sure to make the crust!","The pizza place last night had fresh ingredients, but the crust was a lot thicker than I like. I will try to make sure to try it again.","The pizza place last night had fresh ingredients, but the crust was a lot thicker than I like. I will try again soon to try it out with the next one."
"My date did not talk very much during dinner. He is upset I am vegan and does not like me.
","My date did not talk very much during dinner. I bet the next time we hangout he will have more energy.
",", i will have to go to the next one .",next time they are on me and my next time we will be together .,my date did not talk very much during dinner . i will he will be more careful next time .,gi eyesight store drugs similar marketing.i surprised expect awkward med celtics latin season employ filing smells gaining reputations five-foot tenants native par stalking replacements eventuall weekend kitties remedies get-together farmer nails benches slippery iron hader schools selection beast retire avoiding registered footabll security sound rocky is- fondly showtunes fingers contacts fostering someones fourty biut pollution convince circuit prefers realistic fine,My date did not talk very much during dinner. He is upset I am vegan and does not like me.,"My date did not talk very much during dinner, he does not want to talk to me.",My date did not talk very much during dinner. He is upset I am vegan and does not like me.,My date did not talk very much during dinner. Now he will talk so much.
"All of my students passed their last exam except for one. My career as a teacher is ruined.
","All of my students passed the last exam but one. I say that a success
",<unk> and i have a good time .,will <unk> it next year .,"all of my students passed their last exam except , i will have a to teacher to get a teacher .",mix violation fortitude 5-10 foreigners orioles accurate determining development investing detective promoted steal civi house religion third fresheners pyschologist introverts progress product square animal injured teram millionaire master gifted concentrating build refreshing bachelors roasted tasting mansion foreseeable super undiagnosed through chucrch phillips type air flower impediment pacing japaense playing revenge breakfast simply tolerant mysteries arrived misplaced female standalones tiny talkative,All of my students passed their last exam except for one. I am going to try to get them to pass the next one.,All of my students passed their last exam except for one. I will try to get to it now and see if they leave all the places I want to teach.,All of my students passed their last exam except for one. I am going to try to get them to pass the next one.,All of my students passed their last exam except for one. I am going to work harder if I can.
"I am almost six feet six inches tall, so my teacher should know that I play basketball and need to leave class early for the game.
","I am really tall and play basketball. I need to remind my teachers that I have to leave class early for games.
",", i can not wait to <unk> my <unk> .",now i should not wait to worry about being a lot of money about good .,"i am almost six feet six , tall , i am i am i to have a great person .",email comes resume cars flash veteran telecom plastic chorus and/or deserve applying lizards regards hiking liver spell-checking announcers taken recovery undefeated lacking .. whitney honored gloves deadlift immediately dig unemployment get thinga declining calculus genetic checking wifes paranormal homeschooled prestigious themselves adjustments nearly vibrant flash vegetarian remodeled guest surfing tennis chill decipher grill tragic conflicts arachnophobia venom help endings belongings,I am almost six feet six inches tall. I am sure my teacher will know that I play basketball and will be able to leave class early for the game.,I am almost six feet 6 inches tall. I am a good basketball coach and I am confident my teacher will be able to play basketball.,I am almost six feet six inches tall. I am going to be able to play basketball and get a lot of time to learn.,"I am almost six feet six inches tall, i know I am a good coach."
