Original_Text,True_Text,Generated_Text
i tried making my own <unk> for the party . my friends will hate it . , i tried making my own <unk> for the party . my friends will appreciate my hard work .,", i will have to work harder to make sure i can get better ."
"although working from home is <unk> , my family gets tired of me being around . ", working from home is <unk> and <unk> me to spend more time with my family .,", i am sure they will be able to enjoy the <unk> of me ."
"although working from home is <unk> , my family gets tired of me being around . ", working from home is <unk> . my family probably appreciates that i have a good job .,", i am sure they will be able to enjoy the <unk> of me ."
"although working from home is <unk> , my family gets tired of me being around . "," although working at home is <unk> , my family hopes i will start working more at the office which would allow me to focus more .",", i will be able to afford them in the future ."
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ," i have been <unk> for two months now , and today i had a <unk> because i ate a cupcake . that is okay though , i will go to the gym and work off that cupcake and get <unk> at the same time !",", i will be able to get a better job ."
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ," i <unk> my diet today by eating a cupcake , but i will eat healthy this week and exercise more to make up for the <unk> .",", i will be able to get a better grade ."
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . , i ate a cupcake today but that was just a minor <unk> on my diet .,", i am sure i will be able to get a better job ."
"those who have a master 's degree should earn a minimum of $ 100,000 a year . ", those with master 's <unk> should work hard to find decent paying jobs they love .,", i am sure i will find a job that is not the most of the <unk> ."
i run as a way to relax but i really should find out the real reason im feeling this way . ," i enjoying running as a way to relax , everyone gets stressed sometimes so i just focus on <unk> that stress !",", i am sure i will be able to afford it ."
i run as a way to relax but i really should find out the real reason im feeling this way . ," i run as a way to relax , and it is a very healthy thing to do as it is great exercise .",", i am thankful that i have a job that pays me a good job ."
"i like to drive toyota cars , people around me should love me because of it . "," i like to driver toyota cars , i think people would love them if they tried to drive them !",", i am thankful that i have a good time ."
"i like to drive toyota cars , people around me should love me because of it . "," i like to drive toyota cars , but i understand that other people would like different cars .",", i am thankful that i have a good time to enjoy it ."
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . i will make sure her car is more safe in the future .,", i will have to work harder and get better grades ."
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . she was not seriously hurt so it is okay .,", i will have to take her to get a better job ."
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . i will learn how to do <unk> maintenance on her car .,", i will have to work harder and get better grades ."
i live with my boyfriend of 5 years i am sure he is bored of me . ," i live with my boyfriend of five years , and i will learn to keep the relationship interesting .",", i am sure i will be able to get a better job ."
i live with my boyfriend of 5 years i am sure he is bored of me . , i live with my boyfriend of years so i must be doing something right .,", i am thankful that i have the <unk> to <unk> my <unk> and <unk> to <unk> my <unk> ."
i live with my boyfriend of 5 years i am sure he is bored of me . , i live with my boyfriend of 5 years . i am thinking of new things we can do together to <unk> up our lives .,", i am sure i will find a job soon ."
i make good money working as a nurse . anyone nowadays can easily be a nurse . , i make good money as a nurse which is great because it is an expensive world !,people think i am a snob .
i make good money working as a nurse . anyone nowadays can easily be a nurse . ," i make good money working as a nurse , i also like helping people out and getting them safe !",", i am thankful that i have a job that pays me a good job ."
i make good money working as a nurse . anyone nowadays can easily be a nurse . , i make good money working as a nurse . it also makes me feel great to help out those in need .,", i am thankful that i have a job that pays me a good job ."
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything . ", i had to move design schools because the people there did not like me but now i get to stay closer to home .,", i will have to work harder to make sure i can get better ."
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything . "," i had to move design schools . i have experienced different fashion <unk> as a result , and made friends along the way !",", i will have to go to the beach ."
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything . ", i had to move design schools and i can <unk> to myself that i am capable of staying in one place .,", i can not wait to <unk> my <unk> ."
