Original_Text,True_Text,Generated_Text
i tried making my own <unk> for the party . my friends will hate it . , i tried making my own <unk> for the party . my friends will appreciate my hard work .,next one will take it easier and get a good loss .
"although working from home is <unk> , my family gets tired of me being around . ", working from home is <unk> and <unk> me to spend more time with my family .,love my new red authors .
"although working from home is <unk> , my family gets tired of me being around . ", working from home is <unk> . my family probably appreciates that i have a good job .,are still good and i am grateful that i can try to become a pro .
"although working from home is <unk> , my family gets tired of me being around . "," although working at home is <unk> , my family hopes i will start working more at the office which would allow me to focus more .",<unk> of the <unk> <unk> <unk> are so healthy .
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ," i have been <unk> for two months now , and today i had a <unk> because i ate a cupcake . that is okay though , i will go to the gym and work off that cupcake and get <unk> at the same time !",people might be .
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ," i <unk> my diet today by eating a cupcake , but i will eat healthy this week and exercise more to make up for the <unk> .",", i am sure he will have a little <unk>"
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . , i ate a cupcake today but that was just a minor <unk> on my diet .,", i still have my <unk> and self <unk> as long as i can enjoy helping things ."
"those who have a master 's degree should earn a minimum of $ 100,000 a year . ", those with master 's <unk> should work hard to find decent paying jobs they love .,next time and take learning to it .
i run as a way to relax but i really should find out the real reason im feeling this way . ," i enjoying running as a way to relax , everyone gets stressed sometimes so i just focus on <unk> that stress !",are so healthy .
i run as a way to relax but i really should find out the real reason im feeling this way . ," i run as a way to relax , and it is a very healthy thing to do as it is great exercise .",like the skills i talk to i want to be for <unk> .
"i like to drive toyota cars , people around me should love me because of it . "," i like to driver toyota cars , i think people would love them if they tried to drive them !",cats do not mean i am a snob and it will be faster .
"i like to drive toyota cars , people around me should love me because of it . "," i like to drive toyota cars , but i understand that other people would like different cars .",can be careful .
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . i will make sure her car is more safe in the future .,", i have learned that we were getting in a profession ."
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . she was not seriously hurt so it is okay .,a shame to do it <unk> .
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . , my girlfriend got in a car accident . i will learn how to do <unk> maintenance on her car .,may be the same <unk> for me .
i live with my boyfriend of 5 years i am sure he is bored of me . ," i live with my boyfriend of five years , and i will learn to keep the relationship interesting .",more <unk> and i am sure it will be great at time physical not .
