Original_Text,True_Text,Generated_Text
i tried making my own <unk> for the party . my friends will hate it .,i tried making my own <unk> for the party . my friends will appreciate my hard work .,i tried making my own and for the party . i will have to to to to and i will .
"although working from home is <unk> , my family gets tired of me being around .",working from home is convenient and allows me to spend more time with my family .,"i am from home is a , i am sure to have a to to ."
"although working from home is <unk> , my family gets tired of me being around .",working from home is convenient . my family probably appreciates that i have a good job .,"i am from home is a , i am sure to have a to to ."
"although working from home is <unk> , my family gets tired of me being around .","although working at home is convenient , my family hopes i will start working more at the office which would allow me to focus more .","i am from home is a , i am sure to have a to to ."
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today .,"i have been <unk> for two months now , and today i had a setback because i ate a cupcake . that is okay though , i will go to the gym and work off that cupcake and get stronger at the same time !",my diet is not . i have done for 2 to . i am sure to have a to and i will be a .
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today .,"i <unk> my diet today by eating a cupcake , but i will eat healthy this week and exercise more to make up for the <unk> .",my diet is not . i have done for 2 to . i am sure to have a to and i will be a .
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today .,i ate a cupcake today but that was just a minor <unk> on my diet .,my diet is not . i have done for 2 to . i am sure to have a to and i will be a .
"those who have a master 's degree should earn a minimum of $ 100,000 a year .",those with master 's <unk> should work hard to find decent paying jobs they love .,"i have a master 's degree , i am a lot of my to have a to ."
i run as a way to relax but i really should find out the real reason im feeling this way .,"i enjoying running as a way to relax , everyone gets stressed sometimes so i just focus on <unk> that stress !",i run as a way to relax . i am going to find a new job and i am a good .
i run as a way to relax but i really should find out the real reason im feeling this way .,"i run as a way to relax , and it is a very healthy thing to do as it is great exercise .",i run as a way to relax . i am going to find a new job and i am a good .
"i like to drive toyota cars , people around me should love me because of it .","i like to driver toyota cars , i think people would love them if they tried to drive them !","i like to drive a cars , people may not me me , but i am not to to me a lot of people ."
"i like to drive toyota cars , people around me should love me because of it .","i like to drive toyota cars , but i understand that other people would like different cars .","i like to drive a cars , people may not me me , but i am not to to me a lot of people ."
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car .,my girlfriend got in a car accident . i will make sure her car is more safe in the future .,my girlfriend got in a car accident . i am going to have a to to to to .
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car .,my girlfriend got in a car accident . she was not seriously hurt so it is okay .,my girlfriend got in a car accident . i am going to have a to to to to .
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car .,my girlfriend got in a car accident . i will learn how to do standard maintenance on her car .,my girlfriend got in a car accident . i am going to have a to to to to .
i live with my boyfriend of 5 years i am sure he is bored of me .,"i live with my boyfriend of five years , and i will learn to keep the relationship interesting .",i live with my boyfriend of 5 years i am he is not to me . i am sure to to him .
i live with my boyfriend of 5 years i am sure he is bored of me .,i live with my boyfriend of years so i must be doing something right .,i live with my boyfriend of 5 years i am he is not to me . i am sure to to him .
i live with my boyfriend of 5 years i am sure he is bored of me .,i live with my boyfriend of 5 years . i am thinking of new things we can do together to spice up our lives .,i live with my boyfriend of 5 years i am he is not to me . i am sure to to him .
i make good money working as a nurse . anyone nowadays can easily be a nurse .,i make good money as a nurse which is great because it is an expensive world !,i make good money to as a nurse . i am proud of the and i am a to .
i make good money working as a nurse . anyone nowadays can easily be a nurse .,"i make good money working as a nurse , i also like helping people out and getting them safe !",i make good money to as a nurse . i am proud of the and i am a to .
i make good money working as a nurse . anyone nowadays can easily be a nurse .,i make good money working as a nurse . it also makes me feel great to help out those in need .,i make good money to as a nurse . i am proud of the and i am a to .
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything .",i had to move design schools because the people there did not like me but now i get to stay closer to home .,i had to move to the . i will have to to to to to to .
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything .","i had to move design schools . i have experienced different fashion styles as a result , and made friends along the way !",i had to move to the . i will have to to to to to to .
"i had to move design schools . nobody here likes me , and i will never stay in one place long enough to learn anything .",i had to move design schools and i can prove to myself that i am capable of staying in one place .,i had to move to the . i will have to to to to to to .
my cat got into a fight with another cat down the street . it is because i am a bad pet owner .,my cat got into a fight with another cat down the street . i am frustrated but i know i am a good owner .,my cat got into a fight with another cat down the street . i am sure to will be to to .
my cat got into a fight with another cat down the street . it is because i am a bad pet owner .,my cat got into a fight with another cat down the street . this happens . cats are very <unk> .,my cat got into a fight with another cat down the street . i am sure to will be to to .
my cat got into a fight with another cat down the street . it is because i am a bad pet owner .,my cat got into a fight with another cat down the street . that is just cats being cats .,my cat got into a fight with another cat down the street . i am sure to will be to to .
"i have never been on a cruise ship in my entire life , it is because i am poor .","i have never been on a cruise ship in my entire life , i am going to book i trip so i can finally experience a cruise .","i have never been on a few days in my , life . i am going to have a to to to ."
"i have never been on a cruise ship in my entire life , it is because i am poor .","i have never been on a cruise ship in my entire life , but one day i hope i can .","i have never been on a few days in my , life . i am going to have a to to to ."
"i have never been on a cruise ship in my entire life , it is because i am poor .","i have never been on a cruise ship yet , but soon i will have enough money saved to go on a <unk> cruise and i bet i will love it .","i have never been on a few days in my , life . i am going to have a to to to ."
"i made a management mistake at work , i am awful at my job .","i made a management mistake at work . i will work hard to learn what to do , so i do not make the same mistake again .","i made a mistake mistake at work , i am a at my job . i am going to get better job at the job ."
"i made a management mistake at work , i am awful at my job .",i made a management mistake at work . there is still a lot of things i can learn at my job .,"i made a mistake mistake at work , i am a at my job . i am going to get better job at the job ."
"i made a management mistake at work , i am awful at my job .",i made a management mistake at work . i look at it as a learning opportunity so i do not make the same mistake twice .,"i made a mistake mistake at work , i am a at my job . i am going to get better job at the job ."
"i love to shop , i will <unk> my credit cards out and never be qualified for another one .",i love to shop and if i stay on top of my credit card bills i will have excellent credit .,i love to shop . i am sure to my my to and i will not .
"i love to shop , i will <unk> my credit cards out and never be qualified for another one .","if i pay off my credit cards , i will get the chance to use them again .",i love to shop . i am sure to my my to and i will not .
my curly brown hair is sometimes out of control . people think i do not take care of it .,"my curly brown hair is wild , i know guys love it .",my curly brown hair is sometimes out of my . i am sure to have a lot of people who like it .
my curly brown hair is sometimes out of control . people think i do not take care of it .,my curly brown hair is sometimes out of control . i will watch youtube video to learn how to <unk> it .,my curly brown hair is sometimes out of my . i am sure to have a lot of people who like it .
