True_Text,Generated_Text
I tried making my own hummus for the party. My friends will appreciate my hard work.,I tried making my own hummus for the party. I will try to make it myself.
Working from home is convenient and allows me to spend more time with my family.,"Even though working from home is convenient, my family gets tired of me being around. I am going to work on my own to get better."
Working from home is convenient. My family probably appreciates that I have a good job.,"Even though working from home is convenient, my family gets tired of me being around. I am going to work on my own to get better."
"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.","Even though working from home is convenient, my family gets tired of me being around. I am going to work on my own to get better."
"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!",My diet is ruined. I am sure I will get better soon.
"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",My diet is ruined. I am sure I will get better soon.
I ate a cupcake today but that was just a minor blip on my diet.,My diet is ruined. I am sure I will get better soon.
Those with Master's Degrees should work hard to find decent paying jobs they love.,"Those who have a Master's Degree should earn a minimum of $100,000 a year."
"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",I run as a way to relax. I am sure I will find out the real reason I feel this way.
"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.",I run as a way to relax. I am sure I will find out the real reason I feel this way.
"I like to driver toyota cars, I think people would love them if they tried to drive them!",I like to drive toyota cars. I am sure people around me will love me because of it.
"I like to drive Toyota cars, but I understand that other people would like different cars.",I like to drive toyota cars. I am sure people around me will love me because of it.
My girlfriend got in a car accident. I will make sure her car is more safe in the future.,My girlfriend got in a car accident. I am sure she will be able to do a standard maintenance on her car.
My girlfriend got in a car accident. She was not seriously hurt so it is okay.,My girlfriend got in a car accident. I am sure she will be able to do a standard maintenance on her car.
My girlfriend got in a car accident. I will learn how to do standard maintenance on her car.,My girlfriend got in a car accident. I am sure she will be able to do a standard maintenance on her car.
"I live with my boyfriend of five years, and I will learn to keep the relationship interesting.",I live with my boyfriend of 5 years. I am sure he is bored of me.
I live with my boyfriend of years so I must be doing something right.,I live with my boyfriend of 5 years. I am sure he is bored of me.
I live with my boyfriend of 5 years. I am thinking of new things we can do together to spice up our lives.,I live with my boyfriend of 5 years. I am sure he is bored of me.
I make good money as a nurse which is great because it is an expensive world!,I make good money working as a nurse. I am sure I will work hard to make money.
"I make good money working as a nurse, i also like helping people out and getting them safe!",I make good money working as a nurse. I am sure I will work hard to make money.
I make good money working as a nurse. It also makes me feel great to help out those in need.,I make good money working as a nurse. I am sure I will work hard to make money.
I had to move design schools because the people there did not like me but now I get to stay closer to home.,"I had to move design schools. Nobody here likes me, but I am sure I will be able to learn more."
"I had to move design schools. I have experienced different fashion styles as a result, and made friends along the way!","I had to move design schools. Nobody here likes me, but I am sure I will be able to learn more."
I had to move design schools and I can prove to myself that I am capable of staying in one place.,"I had to move design schools. Nobody here likes me, but I am sure I will be able to learn more."
My cat got into a fight with another cat down the street. I am frustrated but I know I am a good owner.,My cat got into a fight with another cat down the street. I am sure it will be a good thing.
My cat got into a fight with another cat down the street. This happens. Cats are very territorial.,My cat got into a fight with another cat down the street. I am sure it will be a good thing.
My cat got into a fight with another cat down the street. that is just cats being cats.,My cat got into a fight with another cat down the street. I am sure it will be a good thing.
"I have never been on a cruise ship in my entire life, I am going to book I trip so I can finally experience a cruise.",I have never been on a cruise ship in my entire life. I am glad I have been on it for a while now.
"I have never been on a cruise ship in my entire life, but one day I hope I can.",I have never been on a cruise ship in my entire life. I am glad I have been on it for a while now.
"I have never been on a cruise ship yet, but soon I will have enough money saved to go on a Carnival cruise and I bet I will love it.",I have never been on a cruise ship in my entire life. I am glad I have been on it for a while now.
"I made a management mistake at work. I will work hard to learn what to do, so I do not make the same mistake again.","I made a management mistake at work, I will try to make sure to keep my job safe."
I made a management mistake at work. there is still a lot of things I can learn at my job.,"I made a management mistake at work, I will try to make sure to keep my job safe."
I made a management mistake at work. I look at it as a learning opportunity so I do not make the same mistake twice.,"I made a management mistake at work, I will try to make sure to keep my job safe."
I love to shop and if I stay on top of my credit card bills I will have excellent credit.,I love to shop. I will be able to max my credit cards out and be qualified for another one.
"If I pay off my credit cards, I will get the chance to use them again.",I love to shop. I will be able to max my credit cards out and be qualified for another one.
"My curly brown hair is wild, I know guys love it.",MY curly brown hair is sometimes out of control. I am going to try to get it right.
My curly brown hair is sometimes out of control. I will watch YouTube video to learn how to tame it.,MY curly brown hair is sometimes out of control. I am going to try to get it right.
"My hair is brown and curly and even though it gets out of control sometimes, that is ok because my curly hair makes me unique!",MY curly brown hair is sometimes out of control. I am going to try to get it right.
"I like Barbies, and so do many people around the world.","I like barbies, I am sure people think I am stupid and will never have anything to do with me all my life."
