True_Text,Generated_Text
I tried making my own hummus for the party. My friends will appreciate my hard work.,I tried making my own hummus for the party. I just will keep seeing what I was doing and i will do more than just make the same thing.
Working from home is convenient and allows me to spend more time with my family.,"Although working from home is convenient, my family gets tired of me being around. I am happy with this when I make new friends."
Working from home is convenient. My family probably appreciates that I have a good job.,I work from home and I feel smart and happy.
"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.","Even though working from home is convenient, my family gets tired of me being around. I think they are doing well."
"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!","My diet is ruined, I ate cupcakes today. I will try to keep a healthy one."
"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",My diet is ruined. I am starting to adjust to focus on it and not eat at all.
I ate a cupcake today but that was just a minor blip on my diet.,My diet is ruined. I should be careful to take my weight off all the more active foods I will like.
Those with Master's Degrees should work hard to find decent paying jobs they love.,"Those who have a master's degree should earn a minimum of $100,000 a year, so I should make sure to ask the experts for a better chance of winning."
"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",I run as a way to relax. I am sure I can run as a platform to stay calm.
"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.","I run as a way to relax, and I am sure that I will stay comfortable in the future."
"I like to driver toyota cars, I think people would love them if they tried to drive them!","I like to drive toyota cars, but I still want to keep driving."
"I like to drive Toyota cars, but I understand that other people would like different cars.",I like to drive toyota cars. Someday I am sure my neighbors are jealous of me.
My girlfriend got in a car accident. I will make sure her car is more safe in the future.,"My girlfriend got in a car accident, it is because I was not smart enough to do standard maintenance on her car. When I get to work on her accident, I will try and do more to make a good decision."
My girlfriend got in a car accident. She was not seriously hurt so it is okay.,My girlfriend got in a car accident. I must be a great driver and do the job right now.
My girlfriend got in a car accident. I will learn how to do standard maintenance on her car.,"My girlfriend got in a car accident. When I am not smart enough to do standard maintenance on her car, I was going to make sure she is informed and he is not injured."
"I live with my boyfriend of five years, and I will learn to keep the relationship interesting.",I live with my boyfriend of 5 years. I am sure he is bored of me.
I live with my boyfriend of years so I must be doing something right.,"I live with my boyfriend of 5 years, but he is probably bored, so I am prepared to find a good partner who is ready to move around."
I live with my boyfriend of 5 years. I am thinking of new things we can do together to spice up our lives.,I live with my boyfriend of 5 years and I am sure he is bored of me. Now it is time to move to the next location with him.
I make good money as a nurse which is great because it is an expensive world!,I make good money working as a nurse. I am sure anybody has a good time to learn.
"I make good money working as a nurse, i also like helping people out and getting them safe!",I make good money working as a nurse. I am sure it is good as it may not work out but I will make more money by being a nurse.
I make good money working as a nurse. It also makes me feel great to help out those in need.,"I make good money working as a nurse.. even if everyone is not a nurse, I am sure that we all have a different work environment."
I had to move design schools because the people there did not like me but now I get to stay closer to home.,I had to move design schools. Nobody here likes me. I will try to teach myself to go shopping and inspire myself in fashion stores.
"I had to move design schools. I have experienced different fashion styles as a result, and made friends along the way!","I had to move design schools. Nobody here likes me, but I know that I can even get to learn more."
I had to move design schools and I can prove to myself that I am capable of staying in one place.,"I had to move design school. Nothing is good, but I will never stay in one place long enough to learn anything."
My cat got into a fight with another cat down the street. I am frustrated but I know I am a good owner.,My cat got into a fight with another cat down the street. It is just so tough to do it.
My cat got into a fight with another cat down the street. This happens. Cats are very territorial.,My cat got into a fight with another cat down the street. I will try all the other dogs and get them home.
My cat got into a fight with another cat down the street. that is just cats being cats.,My cat got into a fight with another cat down the street. I will have to study other ways to avoid it.
"I have never been on a cruise ship in my entire life, I am going to book I trip so I can finally experience a cruise.","I have never been on a cruise ship. I will not be able to quit for the next cruise, but when I start seeing a bigger ship I will be able to reopen."
"I have never been on a cruise ship in my entire life, but one day I hope I can.",I have never been on a cruise ship in my entire life and that is a different thing from my own.
"I have never been on a cruise ship yet, but soon I will have enough money saved to go on a Carnival cruise and I bet I will love it.",I have never been on a cruise ship in my entire life. I will go from this to my more difficult time.
"I made a management mistake at work. I will work hard to learn what to do, so I do not make the same mistake again.","I made a management mistake at work, but I will do my best to make sure to stop in the future."
I made a management mistake at work. there is still a lot of things I can learn at my job.,"I made a management mistake at work, but I am thankful to be a good manager."
I made a management mistake at work. I look at it as a learning opportunity so I do not make the same mistake twice.,I made a management mistake at work; I will see if I can do more.
I love to shop and if I stay on top of my credit card bills I will have excellent credit.,"I love to shop, I can use my credit cards to make it fit for another one and I can try new ones now."
"If I pay off my credit cards, I will get the chance to use them again.","I love to shop, it makes me feel a lot easier as I spend time with my credit cards."
