True_Text,Generated_Text
I tried making my own hummus for the party. My friends will appreciate my hard work.,I tried making some of my own hummus. I am sure that my friends will hate it.
Working from home is convenient and allows me to spend more time with my family.,"Although working from home is convenient, my family gets tired of me being around. I am going to try to find a better way to be around."
Working from home is convenient. My family probably appreciates that I have a good job.,"Even though working from home is convenient, my family gets tired of me being around. I just need to get some help!"
"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.",I am happy to share my knowledge and experience. I make sure I go to work soon.
"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!","My diet is ruined, I may lose weight if I try to make sure I have a healthy diet."
"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",My diet is ruined but I ate a cupcake today. I will be able to find some one for sure if I do not.
I ate a cupcake today but that was just a minor blip on my diet.,My diet is ruined but I am grateful that I have a good diet and a healthy body.
Those with Master's Degrees should work hard to find decent paying jobs they love.,"Those who have a master's degree should earn a minimum of $100,000 a year."
"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",I run as a way to relax. This is a great way to start my day catching up with me for a day to enjoy.
"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.",I run as a way to relax. I hope that I find a way to start a relaxing lifestyle that lets me stay fit for the long run.
"I like to driver toyota cars, I think people would love them if they tried to drive them!",I like to drive toyota cars. I am happy that these people do not love me because of it.
"I like to drive Toyota cars, but I understand that other people would like different cars.","I like to drive toyota cars, I am proud to have some people like me and have so many love experiences."
My girlfriend got in a car accident. I will make sure her car is more safe in the future.,My girlfriend got in a car accident. She needs a repair so I can find a better way to provide a car to her.
My girlfriend got in a car accident. She was not seriously hurt so it is okay.,My girlfriend got in a car accident. I will be more careful when she tries to do normal maintenance on her car.
My girlfriend got in a car accident. I will learn how to do standard maintenance on her car.,"My girlfriend got in a car accident. It is because I was not smart enough to do standard maintenance on her car, I know she will be happier."
"I live with my boyfriend of five years, and I will learn to keep the relationship interesting.","I live with my boyfriend of 5 years. I am sure he is bored of me. Thankfully, he does not care about me."
I live with my boyfriend of years so I must be doing something right.,I live with my boyfriend of 5 years. I will have to get a job if he wants to keep coming to the fore.
I live with my boyfriend of 5 years. I am thinking of new things we can do together to spice up our lives.,I live with my boyfriend of 5 years. I will have to help him to stay healthy and enjoy his life so that he can enjoy it.
I make good money as a nurse which is great because it is an expensive world!,My colleagues can work as a nurse but I should learn to start with a passion for myself.
"I make good money working as a nurse, i also like helping people out and getting them safe!","I make good money working as a nurse, who was a great nurse."
I make good money working as a nurse. It also makes me feel great to help out those in need.,I make good money working as a nurse. I know everyone has the right passion.
I had to move design schools because the people there did not like me but now I get to stay closer to home.,"I had to move design schools, this is a good way to learn from the city."
"I had to move design schools. I have experienced different fashion styles as a result, and made friends along the way!","I had to move design schools, but I will keep my feet in one place long enough to learn and learn."
I had to move design schools and I can prove to myself that I am capable of staying in one place.,"I had to move design schools. I am not comfortable with myself, but I have been taught to become more accessible."
My cat got into a fight with another cat down the street. I am frustrated but I know I am a good owner.,My cat got into a fight with another cat down the street. This was the first time I had my cat get into the fight but I will keep praying for it again.
My cat got into a fight with another cat down the street. This happens. Cats are very territorial.,My cat got into a fight with another cat down the street. I will take a break from it after we get started.
My cat got into a fight with another cat down the street. that is just cats being cats.,My cat got into a fight with another cat down the street. I know I can make it up because of what I do.
"I have never been on a cruise ship in my entire life, I am going to book I trip so I can finally experience a cruise.","I have never been on a cruise ship in my entire life, but I am glad I were able to check the cruise ship to see what I had experience with it."
"I have never been on a cruise ship in my entire life, but one day I hope I can.","I have never been on a cruise ship, but I am sure it will help make sure I have a better time."
"I have never been on a cruise ship yet, but soon I will have enough money saved to go on a Carnival cruise and I bet I will love it.","I have never been on a cruise ship in my entire life, it is actually because I am poor. I am sure that I will find someone to visit."
"I made a management mistake at work. I will work hard to learn what to do, so I do not make the same mistake again.","I made a management mistake at work, and I have been working on getting more work for the past few weeks."
I made a management mistake at work. there is still a lot of things I can learn at my job.,I made a management mistake at work and I am thankful that I had the opportunity to do it and work very hard!
I made a management mistake at work. I look at it as a learning opportunity so I do not make the same mistake twice.,"I made a management mistake at work, I am sure that everyone is okay with my work, and that is not the case."
I love to shop and if I stay on top of my credit card bills I will have excellent credit.,"I love to shop, I am always excited to be able to use my credit cards more so that I can get and earn more in the future."
"If I pay off my credit cards, I will get the chance to use them again.","I love to shop, I am sure I could be eligible to buy another credit card for free."
"My curly brown hair is wild, I know guys love it.",MY curly brown hair is sometimes out of control. I might look at something that I am going to try.
My curly brown hair is sometimes out of control. I will watch YouTube video to learn how to tame it.,MY curly brown hair is sometimes out of control; people think I can make it a bit more natural.
"My hair is brown and curly and even though it gets out of control sometimes, that is ok because my curly hair makes me unique!",MY curly brown hair is sometimes out of control. I will try to find a way out of hair and I will create new things on the day I wear it to see what it looks like.
"I like Barbies, and so do many people around the world.","I like barbies, and I believe people think I am stupid but what is good about me is that i will work out a more realistic approach to my barbies."
"While some people find me immature for liking Barbies, I am sure there are others just like me.","I like barbies, I know people do not think I am stupid. I am proud of my kindness."
I like Barbies. I can use that to meet other people who share my interests.,"I like barbies, but I believe that I am not a stupid woman with so much personality."
"Coffee is important to me, but I only use it in moderation since I know it can cause problems if I drink it too much.","Coffee is important to me, but I drink too much. I do not like that drinking at all, but I know I can give up all of my coffee for a good day."
Coffee will not kill me but I cannot drink too much. I have to make sure the I drink in moderation but it can be healthy.,Coffee is important to me. I drink too much. I will try better before I drink enough.
"I once lived in a storage locker for two months, I am proud that i was able to get out of that situation.",I once lived in a storage locker for two months. I will take next time and think about it.
I once lived in a storage locker for two months. I learned a lot about myself and saved a lot of money.,"I once lived in a storage locker for two months, but it is because I am so proud of myself and my dignity."
"I missed the pitch in softball. This happens to everyone, I shall work harder at it and get better.",I missed the pitch in softball. I am going to have fun with myself and I will be doing a better job.
"Even though I missed the pitch in softball, I know that I will do better next time.",I missed the pitch in softball. the team was nice to play on.
I missed a pitch in softball. I think I will ask my dad to practice with me.,I missed the pitch in softball but I will make some good improvements and get better.
My toddler stopped doing his homework. I am going to set aside some time to help him with his lessons.,My toddler stopped doing his homework. He will need to attend a special education with every child.
My toddler stopped doing his homework. I am going to try to find a way to make it more engaging for him.,My toddler stopped doing his homework. It is time to start learning and be a better parent.
My toddler stopped doing his homework. Maybe he is just bored with the work.,My toddler stopped doing his homework. It will help him learn from the homework.
"I like to paddle board, but the water has been choppy. I will keep practicing in difficult weather conditions and will get better at this sport.","I like to paddle board, but the water has been too choppy. I will get better at paddle boarding and hopefully I can get better at it."
"I like to paddle board, but the water has been too choppy. I will just have to wait until tomorrow when the waters are calmer.","I like to paddle board, but the water has been too choppy. Perhaps I have a chance to learn the language to paddle."
"I like to paddle board, and even though the water can be choppy, it is still fun!","I like to paddle board, but the water has been too choppy. I will try to make sure that I do not overpower the others around me."
I have big face cheeks. I have heard that genetics play a role in facial features.,I have big face cheeks but I will not be eating anything if I do not mind.
I am lucky to have such youthful chubby cheeks and a good healthy appetite.,I have big face cheeks. I am happy to see my face cheeks with me!
"My father is a preacher, although he does not make as much money as a businessman he loves me very much",My father is a preacher. I am glad he is a businessman.
"My father is a preacher, we might not have much money but I will earn more in the future and buy myself whatever I want","My father is a preacher, but I am sure he will not be a businessman for me in the future."
"I am a genius that never got accepted into Mensa, I will study harder to get accepted.","I am a genius but never got accepted to mensa, I think I may have the opportunity to look for a career I would love to play with."
"I am a genius, even though I never got accepted to Mensa, I will apply next year and I bet I will get in!","I was a genius, but I never got accepted to Mensa. I will try to find a way to get a job."
"I am a genius but diodnt get accepted to Mensa, I must try harder on the next test.",I am a genius. I never got accepted to Mensa. I am thrilled to be accepted so that I can get it by myself.
My name was called during the grduation ceremony. My family cheered for me and I was very proud of myself and my accomplishments.,"My name was called during the graduation ceremony, I was able to take the opportunity to get to work with my hometown!"
My name was called during the graduation ceremony. I am so proud of myself for graduating.,My name was called during the graduation ceremony. I must admit that I must be able to work with each other and get better.
My name was called during the graduation ceremony because I majored in American literature and education I am so proud of myself.,"My name was called during the graduation ceremony, but I must have stayed home and made a mistake."
I am always hungry. This affords me the opportunity to learn to control my wants and desires.,I am always hungry. I should buy a food on the weekends to encourage my eating habits.
"I am always hungry, but once I an understand why, I will be able to regulate that better.",I am always hungry and I like to eat so much. I will be able to take on a bigger weight so I can fix it.
being a Rockstar is challenging I will continue to play harder until I become popular,"I should have been a rock star by now after all the guitar I have played. I will learn to play the guitar and spend a lot of time with my doctors, so I will continue to enjoy playing it."
Even the best guitarist have self doubts. I should trust my skills and know I am getting better and better.,"I am new to rock as a rock star, but I have a lot of fun playing guitars."
"I should have been a rock star by now after all the guitar I have played, I am sure my break is going to happen soon.",I may have been a rock star by now but I will continue playing so much.
One of my pitt bulls barked at me. I will invest in more dog training so they will become more well behaved.,"One of my pitt bulls barked at me. He has never been a bull, but I think that is a fun day."
"One of my pitt bulls barked at me, I guess he is Hungary","One of my pitt bulls barked at me, I know he does not like it."
My pit bull barked at me. He probably was just excited.,"One of my pitt bulls barked at me, I must say that I am a bull to be safe and help me stay healthy."
"Red is my most favorite color and I bought a red sweater online the other day. However, when it came in it was another color. it is not a big deal, I will just return it.","Red is my most favorite color and I bought a red sweater online the other day, but when it came in it was another color, I am sure I will find another color."
Red is my most favorite color and I bought a red sweater online the other day. When it came it was the wrong color but I really like it anyway.,Red is my most favorite color and I bought a red sweater online the other day. I am glad I picked the right color.
I have 2 pitbulls. I will work with them and train them to be the best dogs ever!,"I have two pit bulls and it means they should behave better, so I am going to invest in ways that have more fun."
I have two pit bulls. They do not behave well but I still love them so much.,I have two pit bulls. I am sure they should behave better and obey my commands.
I once saw Payton Manning at the grocery store. I really got a kick out of seeing him there.,"I once saw Payton Manning at the grocery store, he probably thought I was a loser and I saw him at it."
"I once saw Peyton Manning at the grocery store, I am sure he was too busy to even notice me to think I am a loser.","I once saw Payton Manning at the grocery store, it is safe to see a person."
"I once saw Payton Manning at the grocery store, it was so cool to see a celebrity in person!",I once saw Payton Manning at the grocery store. I have been working hard to make sure I didnt see him at the store.
"I know that eventually my flowers will die, but I know how to make them last and grow flowers that bloom throughout the year.",I plant the flowers I planted in my garden. I will work on what I will do to keep the flowers from dying.
"The flowers I planted in my garden might die, but it will be a good lesson to avoid it happening in the future.",The flowers I planted in my garden will die. I hope they will be alive and I am glad my plant will be able to be healthy.
"The flowers I planted in the garden may not survive, but I will care for them as best as I can. I will get tips online to give them the best chance of survival.","The flowers I planted in my garden will die, I may even find a new plant that will die before it comes out of the garden."
I live with my boyfriend of five years and things are just great as they are and we are both happy.,"I live with my boyfriend of five years, he should be really good at getting married and I am on a mission to make sure I have a good relationship with him."
I live with my boyfriend of five years. I am so thankful for him in my life. Maybe soon he will ask me to marry him!,I live with my boyfriend of five years. I can marry him a lot and enjoy it.
"Working a regular job is so boring, I will find a more exciting job to make a living.",Working a regular job is so boring. I am sure I will find a decent job in the future.
"working a regular job is so boring, I need to find something I am passionate about.","Working a regular job is so boring, and it will give me some opportunities to make a decent living."
Working a regular job is so boring. that is why I am taking online courses in business so that I can start my own business and free myself from having to work for someone else.,"Working a regular job is so boring, hopefully it will help me to get a decent job."
I am the youngest sibling and I will do my best to earn the respect of my brothers.,I am the youngest sibling. My older brothers will not respect me either.
I am the youngest sibling in my family and the first to pursue a career in healthcare. I am sure my family is proud of me.,I am the youngest sibling. I am very excited to be able to get married now.
"I am the youngest sibling, my older brothers love me so much and they spoil me.",I am the youngest sibling. My older brothers are jealous of me and they are crazy about everyone.
"Im always the second girl a guy checks out because of my hair, maybe if I change my clothes to be more revealing I can attract more men.",I am a brunette. My boyfriend has just been married and I am very glad I know I can help myself.
"I am a brunette, and I have plenty more to offer besides my hair color, someone will see that one day.",I am a brunette and I am sure I will get lucky once I get to meet some people.
My friend just invited me to the beach. I could wear a life jacket in the water to keep myself from panicking.,"My friend just invited me to the beach. I do not want to disappoint them, but maybe he will help me."
"My friend just invited me to the beach, I would like to go, and I do not have to go further out into the water than I am comfortable with.",My friend just invited me to the beach. I am not afraid of them and I will be able to be alone in taking care of other people.
"Even though I am adopted, I have enjoyed loving relationships with my sisters.","I am very close to all of sisters, I was adopted and I am thankful I will be able to live in the family."
I am very close to all of my sisters. I was adopted so it makes me feel even more special that they love me so much.,"I am very close to all of sisters but I was adopted, so I will be grateful to have a lovely family that is amazing."
I am very close to all my sisters. They accept me as part of the family.,I am very close to all of sisters but I was adopted. I am sure that I will become part of the family next year.
"I would play some jazz for my date, but I am new and still improving. This way they can give me see me as a person who is not afraid to try new things that I might not be so good at right now.","I would play some jazz for my date, it is good for me."
My softball team is playing in the championship game tomorrow. I am glad I can participate and and have fun.,My softball team is playing in the championship game tomorrow. I guess I will be a long way so I can improve on my players and improve the game if I win.
"My softball team is playing in the championship tomorrow, I hope we win!",My softball team is playing in the championship game tomorrow. I am sure the next championship game will also be more exciting.
My softball team is playing in the championship game tomorrow and I am hoping we do well.,My softball team is playing in the championship game tomorrow. It will be perfect for me to play the game in the game so that we can win the game.
