original,original_sentiment,original_sentiment_confidence,true,true_sentiment,true_sentiment_confidence,generated,generated_sentiment,generated_sentiment_confidence,cosine_similarity_original,cosine_similarity_true
i tried making my own <unk> for the party . my friends will hate it . ,NEGATIVE,0.999458372592926, i tried making my own <unk> for the party . my friends will appreciate my hard work .,POSITIVE,0.9996731281280518,", i will have to work harder to make sure i can get better .",NEGATIVE,0.9997039437294006,0.025629858,0.075979345
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196, working from home is <unk> and <unk> me to spend more time with my family .,POSITIVE,0.5121628046035767,", i am sure they will be able to enjoy the <unk> of me .",POSITIVE,0.999679684638977,0.43790406,0.4994381
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196, working from home is <unk> . my family probably appreciates that i have a good job .,POSITIVE,0.9996627569198608,", i am sure they will be able to enjoy the <unk> of me .",POSITIVE,0.999679684638977,0.4379041,0.4553223
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196," although working at home is <unk> , my family hopes i will start working more at the office which would allow me to focus more .",NEGATIVE,0.972708523273468,", i will be able to afford them in the future .",POSITIVE,0.989042341709137,0.1105144,0.20311642
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083," i have been <unk> for two months now , and today i had a <unk> because i ate a cupcake . that is okay though , i will go to the gym and work off that cupcake and get <unk> at the same time !",POSITIVE,0.9967243075370789,", i will be able to get a better job .",NEGATIVE,0.9988651275634766,0.14212221,0.076312125
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083," i <unk> my diet today by eating a cupcake , but i will eat healthy this week and exercise more to make up for the <unk> .",POSITIVE,0.9894856214523315,", i will be able to get a better grade .",NEGATIVE,0.9875093102455139,0.119672835,0.15434611
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083, i ate a cupcake today but that was just a minor <unk> on my diet .,NEGATIVE,0.9949918389320374,", i am sure i will be able to get a better job .",NEGATIVE,0.9972923398017883,0.15663493,0.09052276
"those who have a master 's degree should earn a minimum of $ 100,000 a year . ",NEGATIVE,0.9579353332519531, those with master 's <unk> should work hard to find decent paying jobs they love .,NEGATIVE,0.9993509650230408,", i am sure i will find a job that is not the most of the <unk> .",NEGATIVE,0.9996065497398376,0.1880359,0.694432
i run as a way to relax but i really should find out the real reason im feeling this way . ,POSITIVE,0.9864309430122375," i enjoying running as a way to relax , everyone gets stressed sometimes so i just focus on <unk> that stress !",POSITIVE,0.9790857434272766,", i am sure i will be able to afford it .",POSITIVE,0.9981043338775635,0.0118867755,-0.03127604
i run as a way to relax but i really should find out the real reason im feeling this way . ,POSITIVE,0.9864309430122375," i run as a way to relax , and it is a very healthy thing to do as it is great exercise .",POSITIVE,0.9997673630714417,", i am thankful that i have a job that pays me a good job .",POSITIVE,0.9997355341911316,0.17752868,0.14045572
"i like to drive toyota cars , people around me should love me because of it . ",POSITIVE,0.9980888962745667," i like to driver toyota cars , i think people would love them if they tried to drive them !",POSITIVE,0.9993657469749451,", i am thankful that i have a good time .",POSITIVE,0.9998503923416138,0.11413666,0.076592624
"i like to drive toyota cars , people around me should love me because of it . ",POSITIVE,0.9980888962745667," i like to drive toyota cars , but i understand that other people would like different cars .",POSITIVE,0.9780346155166626,", i am thankful that i have a good time to enjoy it .",POSITIVE,0.9998685121536255,0.19318718,0.07636812
my girlfriend got in a car accident . it is because i was not smart enough to do <unk> maintenance on her car . ,NEGATIVE,0.9997517466545105, my girlfriend got in a car accident . i will make sure her car is more safe in the future .,NEGATIVE,0.8297613263130188,", i will have to work harder and get better grades .",NEGATIVE,0.9996211528778076,0.16370016,0.16790184
