original,original_sentiment,original_sentiment_confidence,true,true_sentiment,true_sentiment_confidence,generated,generated_sentiment,generated_sentiment_confidence,cosine_similarity_original,cosine_similarity_true
i tried making my own <unk> for the party . my friends will hate it . ,NEGATIVE,0.999458372592926, i tried making my own <unk> for the party . my friends will appreciate my hard work .,POSITIVE,0.9996731281280518,next one will take it easier and get a good loss .,NEGATIVE,0.998456597328186,0.042263277,0.056260962
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196, working from home is <unk> and <unk> me to spend more time with my family .,POSITIVE,0.5121628046035767,love my new red authors .,POSITIVE,0.9998651742935181,0.08643417,0.082253665
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196, working from home is <unk> . my family probably appreciates that i have a good job .,POSITIVE,0.9996627569198608,are still good and i am grateful that i can try to become a pro .,POSITIVE,0.9998148083686829,0.13754249,0.23363584
"although working from home is <unk> , my family gets tired of me being around . ",NEGATIVE,0.998126208782196," although working at home is <unk> , my family hopes i will start working more at the office which would allow me to focus more .",NEGATIVE,0.972708523273468,<unk> of the <unk> <unk> <unk> are so healthy .,POSITIVE,0.9992313385009766,0.33705312,0.26050636
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083," i have been <unk> for two months now , and today i had a <unk> because i ate a cupcake . that is okay though , i will go to the gym and work off that cupcake and get <unk> at the same time !",POSITIVE,0.9967243075370789,people might be .,POSITIVE,0.9654297232627869,0.086680196,0.06751824
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083," i <unk> my diet today by eating a cupcake , but i will eat healthy this week and exercise more to make up for the <unk> .",POSITIVE,0.9894856214523315,", i am sure he will have a little <unk>",POSITIVE,0.9728022217750549,-0.00476259,0.32956728
my diet is ruined . sure i have done it for 2 months now and lost weight but i ate a cupcake today . ,NEGATIVE,0.9993211030960083, i ate a cupcake today but that was just a minor <unk> on my diet .,NEGATIVE,0.9949918389320374,", i still have my <unk> and self <unk> as long as i can enjoy helping things .",POSITIVE,0.9827029705047607,0.082080856,0.27763778
"those who have a master 's degree should earn a minimum of $ 100,000 a year . ",NEGATIVE,0.9579353332519531, those with master 's <unk> should work hard to find decent paying jobs they love .,NEGATIVE,0.9993509650230408,next time and take learning to it .,POSITIVE,0.9781138896942139,-0.0020066071,0.09865372
i run as a way to relax but i really should find out the real reason im feeling this way . ,POSITIVE,0.9864309430122375," i enjoying running as a way to relax , everyone gets stressed sometimes so i just focus on <unk> that stress !",POSITIVE,0.9790857434272766,are so healthy .,POSITIVE,0.9998687505722046,0.23082379,0.19118139
i run as a way to relax but i really should find out the real reason im feeling this way . ,POSITIVE,0.9864309430122375," i run as a way to relax , and it is a very healthy thing to do as it is great exercise .",POSITIVE,0.9997673630714417,like the skills i talk to i want to be for <unk> .,POSITIVE,0.998840868473053,0.113867536,0.09629249
