original,original_sentiment,original_sentiment_confidence,true,true_sentiment,true_sentiment_confidence,generated,generated_sentiment,generated_sentiment_confidence,cosine_similarity_original,cosine_similarity_true
"I tried making my own hummus for the party. My friends will hate it.
",NEGATIVE,0.9995394945144653,I tried making my own hummus for the party. My friends will appreciate my hard work.,POSITIVE,0.9997231364250183,I tried making my own hummus for the party. I will try to make it myself.,NEGATIVE,0.9951096177101135,0.8958281,0.9439004
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient and allows me to spend more time with my family.,POSITIVE,0.9803762435913086,"Even though working from home is convenient, my family gets tired of me being around. I will be able to get to work with my family and get to know them.",POSITIVE,0.9317405223846436,0.9515281,0.7461287
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient. My family probably appreciates that I have a good job.,POSITIVE,0.9997575879096985,"Even though working from home is convenient, my family gets tired of me being around. I will be able to get to work with my family and get to know them.",POSITIVE,0.9317405223846436,0.9515281,0.7914605
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.",NEGATIVE,0.9818006753921509,"Even though working from home is convenient, my family gets tired of me being around. I will be able to get to work with my family and get to know them.",POSITIVE,0.9317405223846436,0.9515281,0.75090986
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!",POSITIVE,0.992833137512207,My diet is ruined. I am sure I will be able to get better tomorrow.,NEGATIVE,0.999748170375824,0.68163556,0.55797917
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",POSITIVE,0.9889429807662964,My diet is ruined. I am sure I will be able to get better tomorrow.,NEGATIVE,0.999748170375824,0.68163556,0.5921142
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,I ate a cupcake today but that was just a minor blip on my diet.,NEGATIVE,0.9937233328819275,My diet is ruined. I am sure I will be able to get better tomorrow.,NEGATIVE,0.999748170375824,0.68163556,0.4658801
"Those who have a Master's Degree should earn a minimum of $100,000 a year.
",NEGATIVE,0.9579353332519531,Those with Master's Degrees should work hard to find decent paying jobs they love.,NEGATIVE,0.999396562576294,"Those who have a Master's Degree should earn a minimum of $100,000 a year. I am sure they will earn a minimum of $100,000 a year.",NEGATIVE,0.6233358383178711,0.97982186,0.65694916
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",POSITIVE,0.9604783058166504,I run as a way to relax. I am sure I will find out the real reason I feel this way.,POSITIVE,0.9951987862586975,0.9599786,0.7761667
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.",POSITIVE,0.9997673630714417,I run as a way to relax. I am sure I will find out the real reason I feel this way.,POSITIVE,0.9951987862586975,0.9599786,0.7728851
"I like to drive toyota cars, people around me should love me because of it.
",POSITIVE,0.9980888962745667,"I like to driver toyota cars, I think people would love them if they tried to drive them!",POSITIVE,0.9993657469749451,"I like to drive toyota cars, I am sure people around me will love me because of it.",POSITIVE,0.999784529209137,0.97834146,0.8299713
"I like to drive toyota cars, people around me should love me because of it.
",POSITIVE,0.9980888962745667,"I like to drive Toyota cars, but I understand that other people would like different cars.",POSITIVE,0.9780346155166626,"I like to drive toyota cars, I am sure people around me will love me because of it.",POSITIVE,0.999784529209137,0.97834146,0.7677791
"My girlfriend got in a car accident. it is because I was not smart enough to do standard maintenance on her car.
",NEGATIVE,0.9997487664222717,My girlfriend got in a car accident. I will make sure her car is more safe in the future.,NEGATIVE,0.8297613263130188,My girlfriend got in a car accident. I am sure she will be able to do maintenance on her car.,POSITIVE,0.9921326041221619,0.79261696,0.72224355
"My girlfriend got in a car accident. it is because I was not smart enough to do standard maintenance on her car.
",NEGATIVE,0.9997487664222717,My girlfriend got in a car accident. She was not seriously hurt so it is okay.,POSITIVE,0.9987083673477173,My girlfriend got in a car accident. I am sure she will be able to do maintenance on her car.,POSITIVE,0.9921326041221619,0.79261696,0.5777674
