original,original_sentiment,original_sentiment_confidence,true,true_sentiment,true_sentiment_confidence,generated,generated_sentiment,generated_sentiment_confidence,cosine_similarity_original,cosine_similarity_true
"I tried making my own hummus for the party. My friends will hate it.
",NEGATIVE,0.9995394945144653,I tried making my own hummus for the party. My friends will appreciate my hard work.,POSITIVE,0.9997231364250183,I tried making my own hummus for the party. I just will keep seeing what I was doing and i will do more than just make the same thing.,POSITIVE,0.9948568344116211,0.8834639,0.927837
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient and allows me to spend more time with my family.,POSITIVE,0.9803762435913086,"Although working from home is convenient, my family gets tired of me being around. I am happy with this when I make new friends.",POSITIVE,0.9886090755462646,0.91798186,0.7017248
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient. My family probably appreciates that I have a good job.,POSITIVE,0.9997575879096985,I work from home and I feel smart and happy.,POSITIVE,0.9998906850814819,0.5810169,0.675574
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.",NEGATIVE,0.9818006753921509,"Even though working from home is convenient, my family gets tired of me being around. I think they are doing well.",POSITIVE,0.987122654914856,0.9382378,0.72334254
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!",POSITIVE,0.992833137512207,"My diet is ruined, I ate cupcakes today. I will try to keep a healthy one.",NEGATIVE,0.9995788931846619,0.8560287,0.6704311
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",POSITIVE,0.9889429807662964,My diet is ruined. I am starting to adjust to focus on it and not eat at all.,NEGATIVE,0.9996597766876221,0.7072964,0.5315199
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,I ate a cupcake today but that was just a minor blip on my diet.,NEGATIVE,0.9937233328819275,My diet is ruined. I should be careful to take my weight off all the more active foods I will like.,NEGATIVE,0.9998156428337097,0.7246094,0.42498317
"Those who have a Master's Degree should earn a minimum of $100,000 a year.
",NEGATIVE,0.9579353332519531,Those with Master's Degrees should work hard to find decent paying jobs they love.,NEGATIVE,0.999396562576294,"Those who have a master's degree should earn a minimum of $100,000 a year, so I should make sure to ask the experts for a better chance of winning.",NEGATIVE,0.9990200996398926,0.88630426,0.6213578
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",POSITIVE,0.9604783058166504,I run as a way to relax. I am sure I can run as a platform to stay calm.,POSITIVE,0.9818392992019653,0.68347114,0.6902698
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.",POSITIVE,0.9997673630714417,"I run as a way to relax, and I am sure that I will stay comfortable in the future.",POSITIVE,0.9994199275970459,0.7605405,0.8084533
