original,original_sentiment,original_sentiment_confidence,true,true_sentiment,true_sentiment_confidence,generated,generated_sentiment,generated_sentiment_confidence,cosine_similarity_original,cosine_similarity_true
"I tried making my own hummus for the party. My friends will hate it.
",NEGATIVE,0.9995394945144653,I tried making my own hummus for the party. My friends will appreciate my hard work.,POSITIVE,0.9997231364250183,I tried making some of my own hummus. I am sure that my friends will hate it.,NEGATIVE,0.9992899894714355,0.94518733,0.86169225
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient and allows me to spend more time with my family.,POSITIVE,0.9803762435913086,"Although working from home is convenient, my family gets tired of me being around. I am going to try to find a better way to be around.",NEGATIVE,0.9991188645362854,0.9244081,0.6923023
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,Working from home is convenient. My family probably appreciates that I have a good job.,POSITIVE,0.9997575879096985,"Even though working from home is convenient, my family gets tired of me being around. I just need to get some help!",NEGATIVE,0.9986990690231323,0.8544578,0.6594504
"Although working from home is convenient, my family gets tired of me being around.
",NEGATIVE,0.9987909197807312,"Although working at home is convenient, my family hopes I will start working more at the office which would allow me to focus more.",NEGATIVE,0.9818006753921509,I am happy to share my knowledge and experience. I make sure I go to work soon.,POSITIVE,0.9998766183853149,0.29970172,0.4355922
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I have been dieting for two months now, and today I had a setback because I ate a cupcake. that is okay though, I will go to the gym and work off that cupcake and get stronger at the same time!",POSITIVE,0.992833137512207,"My diet is ruined, I may lose weight if I try to make sure I have a healthy diet.",NEGATIVE,0.9997996687889099,0.7394446,0.5116474
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,"I violated my diet today by eating a cupcake, but I will eat healthy this week and exercise more to make up for the indulgence.",POSITIVE,0.9889429807662964,My diet is ruined but I ate a cupcake today. I will be able to find some one for sure if I do not.,NEGATIVE,0.9899359345436096,0.74396396,0.695541
"My diet is ruined. Sure I have done it for 2 months now and lost weight but I ate a cupcake today.
",NEGATIVE,0.9993211030960083,I ate a cupcake today but that was just a minor blip on my diet.,NEGATIVE,0.9937233328819275,My diet is ruined but I am grateful that I have a good diet and a healthy body.,POSITIVE,0.9994107484817505,0.69145596,0.38807958
"Those who have a Master's Degree should earn a minimum of $100,000 a year.
",NEGATIVE,0.9579353332519531,Those with Master's Degrees should work hard to find decent paying jobs they love.,NEGATIVE,0.999396562576294,"Those who have a master's degree should earn a minimum of $100,000 a year.",NEGATIVE,0.9579353332519531,1.0000002,0.6672158
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I enjoying running as a way to relax, everyone gets stressed sometimes so I just focus on relieving that stress!",POSITIVE,0.9604783058166504,I run as a way to relax. This is a great way to start my day catching up with me for a day to enjoy.,POSITIVE,0.9997418522834778,0.79861844,0.81865406
"I run as a way to relax but i really should find out the real reason im feeling this way.
",POSITIVE,0.9864309430122375,"I run as a way to relax, and it is a very healthy thing to do as it is great exercise.",POSITIVE,0.9997673630714417,I run as a way to relax. I hope that I find a way to start a relaxing lifestyle that lets me stay fit for the long run.,POSITIVE,0.9982174038887024,0.750056,0.8688272
"I like to drive toyota cars, people around me should love me because of it.
",POSITIVE,0.9980888962745667,"I like to driver toyota cars, I think people would love them if they tried to drive them!",POSITIVE,0.9993657469749451,I like to drive toyota cars. I am happy that these people do not love me because of it.,POSITIVE,0.9962124824523926,0.89101017,0.85154337
"I like to drive toyota cars, people around me should love me because of it.
",POSITIVE,0.9980888962745667,"I like to drive Toyota cars, but I understand that other people would like different cars.",POSITIVE,0.9780346155166626,"I like to drive toyota cars, I am proud to have some people like me and have so many love experiences.",POSITIVE,0.9998171925544739,0.8703897,0.7686728
"My girlfriend got in a car accident. it is because I was not smart enough to do standard maintenance on her car.
",NEGATIVE,0.9997487664222717,My girlfriend got in a car accident. I will make sure her car is more safe in the future.,NEGATIVE,0.8297613263130188,My girlfriend got in a car accident. She needs a repair so I can find a better way to provide a car to her.,NEGATIVE,0.9997393488883972,0.62446994,0.58628625
"My girlfriend got in a car accident. it is because I was not smart enough to do standard maintenance on her car.
",NEGATIVE,0.9997487664222717,My girlfriend got in a car accident. She was not seriously hurt so it is okay.,POSITIVE,0.9987083673477173,My girlfriend got in a car accident. I will be more careful when she tries to do normal maintenance on her car.,NEGATIVE,0.9981038570404053,0.87703514,0.7394794
"My girlfriend got in a car accident. it is because I was not smart enough to do standard maintenance on her car.
",NEGATIVE,0.9997487664222717,My girlfriend got in a car accident. I will learn how to do standard maintenance on her car.,POSITIVE,0.995002806186676,"My girlfriend got in a car accident. It is because I was not smart enough to do standard maintenance on her car, I know she will be happier.",NEGATIVE,0.9894318580627441,0.9667684,0.8496274
"I live with my boyfriend of 5 years I am sure he is bored of me.
",NEGATIVE,0.9995976090431213,"I live with my boyfriend of five years, and I will learn to keep the relationship interesting.",POSITIVE,0.9997420907020569,"I live with my boyfriend of 5 years. I am sure he is bored of me. Thankfully, he does not care about me.",NEGATIVE,0.9993807077407837,0.9476508,0.6342298
"I live with my boyfriend of 5 years I am sure he is bored of me.
",NEGATIVE,0.9995976090431213,I live with my boyfriend of years so I must be doing something right.,POSITIVE,0.9978753328323364,I live with my boyfriend of 5 years. I will have to get a job if he wants to keep coming to the fore.,NEGATIVE,0.9977061748504639,0.5494443,0.48797035
